,name,PV,player_id,Unnamed: 0,PlayerId,gamenum,team,points,position,div,primaryPosition
41755,Adam Boqvist,1,ID8480871,159514.0,ID8480871,56.0,16.0,0.0,D,W,D
41756,Adam Boqvist,1,ID8480871,159515.0,ID8480871,57.0,16.0,0.0,D,W,D
41757,Adam Boqvist,1,ID8480871,159516.0,ID8480871,58.0,16.0,0.0,D,W,D
41758,Adam Boqvist,1,ID8480871,159517.0,ID8480871,59.0,16.0,0.0,D,W,D
41759,Adam Boqvist,1,ID8480871,159518.0,ID8480871,60.0,16.0,0.0,D,W,D
41760,Adam Boqvist,1,ID8480871,159519.0,ID8480871,61.0,16.0,0.0,D,W,D
41761,Adam Boqvist,1,ID8480871,159520.0,ID8480871,62.0,16.0,0.0,D,W,D
41762,Adam Boqvist,1,ID8480871,159521.0,ID8480871,63.0,16.0,0.0,D,W,D
41763,Adam Boqvist,1,ID8480871,159522.0,ID8480871,64.0,16.0,0.0,D,W,D
41764,Adam Boqvist,1,ID8480871,159523.0,ID8480871,65.0,16.0,0.0,D,W,D
41765,Adam Boqvist,1,ID8480871,159524.0,ID8480871,66.0,16.0,0.0,D,W,D
41766,Adam Boqvist,1,ID8480871,159525.0,ID8480871,67.0,16.0,0.0,D,W,D
41767,Adam Boqvist,1,ID8480871,159526.0,ID8480871,68.0,16.0,0.0,D,W,D
41768,Adam Boqvist,1,ID8480871,159527.0,ID8480871,69.0,16.0,0.0,D,W,D
41769,Adam Boqvist,1,ID8480871,159528.0,ID8480871,70.0,16.0,0.0,D,W,D
41770,Adam Boqvist,1,ID8480871,159529.0,ID8480871,71.0,16.0,0.0,D,W,D
41771,Adam Boqvist,1,ID8480871,159530.0,ID8480871,72.0,16.0,0.0,D,W,D
41772,Adam Boqvist,1,ID8480871,159531.0,ID8480871,73.0,16.0,0.0,D,W,D
41773,Adam Boqvist,1,ID8480871,159532.0,ID8480871,74.0,16.0,0.0,D,W,D
41774,Adam Boqvist,1,ID8480871,159533.0,ID8480871,75.0,16.0,0.0,D,W,D
41775,Adam Boqvist,1,ID8480871,159534.0,ID8480871,76.0,16.0,0.0,D,W,D
41776,Adam Boqvist,1,ID8480871,159535.0,ID8480871,77.0,16.0,0.0,D,W,D
41777,Adam Boqvist,1,ID8480871,159536.0,ID8480871,78.0,16.0,0.0,D,W,D
41778,Adam Boqvist,1,ID8480871,159537.0,ID8480871,79.0,16.0,0.0,D,W,D
41779,Adam Boqvist,1,ID8480871,159538.0,ID8480871,80.0,16.0,0.0,D,W,D
41780,Adam Boqvist,1,ID8480871,159539.0,ID8480871,81.0,16.0,0.0,D,W,D
41781,Adam Boqvist,1,ID8480871,159540.0,ID8480871,82.0,16.0,0.0,D,W,D
41782,Adam Boqvist,1,ID8480871,159541.0,ID8480871,83.0,16.0,0.0,D,W,D
41783,Adam Boqvist,1,ID8480871,159542.0,ID8480871,84.0,16.0,0.0,D,W,D
41784,Adam Boqvist,1,ID8480871,159543.0,ID8480871,85.0,16.0,0.0,D,W,D
