name,PV
Adam Boqvist,1
T Brodie,1
Jonas Brodin,1
Jakob Chychrun,1
Ian Cole,1
Melo De,1
Jason Demers,1
Matt Dumba,1
Vince Dunn,1
Alexander Edler,2
Mattias Ekholm,2
Larsson Ekman,1
Ryan Ellis,2
Deryk Engelland,1
Dante Fabbro,1
Justin Faulk,1
Taylor Fedun,1
Derek Forbort,1
Mark Giordano,2
Samuel Girard,1
Alex Goligoski,1
Ryan Graves,1
Carl Gunnarsson,1
Erik Gustafsson,1
Nicolas Hague,1
Noah Hanifin,1
Miro Heiskanen,1
Niklas Hjalmarsson,1
Nick Holden,1
Quinn Hughes,2
Brad Hunt,1
Erik Johnson,1
Roman Josi,3
Duncan Keith,1
Oscar Klefbom,2
John Klingberg,1
Dmitry Kulikov,1
Adam Larsson,1
Esa Lindell,1
Olli Maatta,1
Cale Makar,2
Alec Martinez,1
Nabb Mc,1
Jon Merrill,1
Josh Morrissey,2
Connor Murphy,1
Tyler Myers,1
Sami Niku,1
Darnell Nurse,1
Jordan Oesterle,1
Jamie Oleksiak,1
Colton Parayko,1
Alex Pietrangelo,2
Neal Pionk,2
Tucker Poolman,1
Kris Russell,1
Luca Sbisa,1
Marco Scandella,1
Nate Schmidt,1
Andrej Sekera,1
Carson Soucy,1
Jared Spurgeon,1
Troy Stecher,1
Ryan Suter,2
Christopher Tanev,1
Shea Theodore,2
Nikita Zadorov,1
Tyson Barrie,2
Zach Bogosian,1
Johnny Boychuk,1
Justin Braun,1
Brandon Carlo,1
John Carlson,3
Cody Ceci,1
Erik Cernak,1
Zdeno Chara,1
Ben Chiarot,1
Anthony Deangelo,2
Travis Dermott,1
Brenden Dillon,1
Brian Dumoulin,1
Joel Edmundson,1
Aaron Ekblad,2
Haydn Fleury,1
Adam Fox,1
Jake Gardiner,1
Vladislav Gavrikov,1
Shayne Gostisbehere,1
Andy Greene,1
Matt Grzelcyk,1
Radko Gudas,1
Dougie Hamilton,2
Victor Hedman,3
Justin Holl,1
Nick Jensen,1
Jack Johnson,1
Seth Jones,1
Michal Kempny,1
Torey Krug,2
Nick Leddy,1
Kris Letang,2
Ryan Lindgren,1
John Marino,1
Michael Matheson,1
Scott Mayfield,1
Avoy Mc,1
Donagh Mc,1
Victor Mete,1
Ryan Murray,1
Jake Muzzin,1
Matt Niskanen,1
Markus Nutivaara,1
Dmitry Orlov,1
Adam Pelech,1
Jeff Petry,2
Marcus Pettersson,1
Ivan Provorov,1
Ryan Pulock,1
Morgan Rielly,2
Juuso Riikola,1
Calle Rosen,1
Chad Ruhwedel,1
Rasmus Sandin,1
Travis Sanheim,1
David Savard,1
Justin Schultz,1
Mikhail Sergachev,1
Kevin Shattenkirk,2
Jonas Siegenthaler,1
Brady Skjei,1
Jaccob Slavin,1
Brendan Smith,1
Marc Staal,1
Riley Stillman,1
Anton Stralman,1
Devon Toews,1
Jacob Trouba,1
Sami Vatanen,1
Shea Weber,2
Mac Weegar,1
Zach Werenski,2
Keith Yandle,2
Jake Allen,3
Richard Bachman,2
Antoine Bibeau,2
Jordan Binnington,4
Ben Bishop,3
Landon Bow,2
Laurent Brossoit,3
Eric Comrie,2
Corey Crawford,3
Collin Delia,2
Thatcher Demko,2
Louis Domingue,2
Devan Dubnyk,3
Marc Fleury,4
Pavel Francouz,3
Jon Gillies,2
Philipp Grubauer,3
Connor Hellebuyck,3
Adin Hill,2
Ville Husso,2
Michael Hutchinson,2
Kaapo Kahkonen,2
Anton Khudobin,3
Mikko Koskinen,3
Darcy Kuemper,3
Robin Lehner,3
Jacob Markstrom,3
Antti Raanta,2
Pekka Rinne,3
David Rittich,3
Juuse Saros,3
Mike Smith,3
Garret Sparks,2
Alex Stalock,2
Malcolm Subban,3
Cam Talbot,3
Adam Werner,2
